,Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,Anxiety,Depression,Insomnia,OCD,Music effects
97,8/28/2022 15:03,31.0,Spotify,2.0,No,No,No,Rock,Yes,No,8.0,9.0,6.0,2.0,Improve
98,8/28/2022 15:03,19.0,Spotify,4.0,Yes,No,No,Metal,Yes,Yes,4.0,1.0,1.0,1.0,Improve
99,8/28/2022 15:07,15.0,Spotify,8.0,Yes,No,No,Rock,No,No,8.0,7.0,5.0,0.0,Improve
100,8/28/2022 15:09,18.0,Spotify,2.0,No,Yes,Yes,Metal,Yes,Yes,3.0,4.0,6.0,1.0,Improve
101,8/28/2022 15:22,25.0,I do not use a streaming service.,0.5,No,Yes,No,Classical,No,No,1.0,1.0,3.0,1.0,Improve
102,8/28/2022 15:32,17.0,Apple Music,5.0,Yes,No,No,Metal,Yes,No,10.0,8.0,6.0,7.0,No effect
103,8/28/2022 15:41,28.0,YouTube Music,1.0,No,No,No,Rock,Yes,No,6.0,6.0,2.0,0.0,No effect
104,8/28/2022 16:04,20.0,Spotify,3.0,Yes,No,No,Rock,Yes,Yes,6.0,7.0,0.0,0.0,Improve
105,8/28/2022 16:07,21.0,YouTube Music,2.0,Yes,Yes,No,Metal,Yes,Yes,8.0,4.0,10.0,0.0,No effect
106,8/28/2022 16:07,41.0,Spotify,3.0,Yes,No,No,Pop,No,Yes,9.0,7.0,6.0,2.0,No effect
107,8/28/2022 16:08,20.0,Spotify,2.0,Yes,Yes,No,Pop,Yes,No,7.0,4.0,6.0,5.0,Improve
108,8/28/2022 16:13,34.0,Other streaming service,4.0,Yes,No,No,Metal,Yes,Yes,6.0,7.0,0.0,0.0,No effect
109,8/28/2022 16:15,21.0,YouTube Music,3.0,Yes,No,Yes,Metal,Yes,No,10.0,0.0,10.0,10.0,Improve
110,8/28/2022 16:15,23.0,Spotify,2.0,Yes,No,No,Metal,Yes,Yes,6.0,3.0,0.0,1.0,Improve
111,8/28/2022 16:15,16.0,Spotify,3.0,No,No,No,Pop,No,No,7.0,5.0,5.0,3.0,Improve
112,8/28/2022 16:15,19.0,YouTube Music,4.0,Yes,No,No,Pop,Yes,No,7.0,10.0,5.0,0.0,Improve
113,8/28/2022 16:23,22.0,Spotify,2.0,Yes,Yes,No,Rock,Yes,Yes,8.0,6.0,0.0,0.0,Improve
114,8/28/2022 16:27,19.0,Spotify,8.0,Yes,No,No,K pop,Yes,Yes,4.0,3.0,0.0,0.0,Improve
115,8/28/2022 16:30,23.0,Spotify,4.0,Yes,No,No,Hip hop,Yes,Yes,7.0,6.0,7.0,5.0,Improve
116,8/28/2022 16:30,23.0,Spotify,2.0,No,Yes,No,Metal,No,Yes,7.0,3.0,2.0,3.0,Improve
117,8/28/2022 16:32,22.0,Spotify,1.0,No,No,Yes,EDM,Yes,No,2.0,7.0,5.0,0.0,Improve
118,8/28/2022 16:34,17.0,Spotify,3.0,Yes,No,No,Rock,Yes,No,7.0,8.0,6.0,5.0,Improve
119,8/28/2022 16:37,28.0,Spotify,0.5,No,No,No,Folk,Yes,No,4.0,7.0,1.0,0.0,Improve
120,8/28/2022 16:37,23.0,Spotify,2.0,No,No,No,Rock,Yes,Yes,7.0,8.0,5.0,1.0,No effect
121,8/28/2022 16:53,19.0,Apple Music,3.0,Yes,No,No,Rock,Yes,Yes,5.0,2.0,8.0,6.0,Improve
122,8/28/2022 16:58,17.0,Spotify,2.0,Yes,Yes,Yes,Hip hop,Yes,Yes,10.0,7.0,4.0,2.0,Improve
123,8/28/2022 17:14,21.0,YouTube Music,1.0,No,No,No,Rock,Yes,No,6.0,5.0,0.0,0.0,No effect
124,8/28/2022 17:14,29.0,Other streaming service,5.0,Yes,No,No,Jazz,Yes,Yes,7.0,2.0,3.0,1.0,Improve
125,8/28/2022 17:15,22.0,Spotify,10.0,No,Yes,Yes,EDM,No,Yes,4.0,7.0,7.0,3.0,Improve
126,8/28/2022 17:15,18.0,Spotify,4.0,Yes,Yes,Yes,Pop,Yes,Yes,4.0,5.0,6.0,5.0,Improve
127,8/28/2022 17:19,13.0,Spotify,2.0,Yes,Yes,Yes,Rock,Yes,No,7.0,10.0,5.0,6.0,Worsen
128,8/28/2022 17:27,24.0,Spotify,1.0,No,No,No,Metal,Yes,No,6.0,4.0,5.0,0.0,Improve
129,8/28/2022 17:32,35.0,Spotify,6.0,Yes,No,No,Rock,Yes,Yes,4.0,1.0,3.0,1.0,No effect
130,8/28/2022 17:33,29.0,YouTube Music,1.0,Yes,Yes,No,Video game music,Yes,No,6.0,6.0,1.0,2.0,Improve
131,8/28/2022 17:37,28.0,Spotify,6.0,Yes,No,No,Rock,No,No,10.0,8.0,7.0,1.0,Improve
132,8/28/2022 17:40,32.0,Spotify,7.0,Yes,No,No,Pop,Yes,Yes,10.0,8.0,2.0,8.0,Improve
133,8/28/2022 17:41,32.0,Other streaming service,1.0,No,No,No,EDM,Yes,No,3.0,6.0,2.0,0.0,No effect
134,8/28/2022 17:43,21.0,Spotify,3.0,Yes,Yes,No,Rock,Yes,No,8.0,9.0,2.0,0.0,Improve
135,8/28/2022 17:54,18.0,Spotify,2.0,Yes,Yes,No,Video game music,No,Yes,8.0,3.0,8.0,7.0,Improve
136,8/28/2022 17:56,19.0,Spotify,3.0,Yes,Yes,No,Classical,Yes,No,3.0,3.0,1.0,2.0,Improve
137,8/28/2022 18:02,18.0,Apple Music,2.0,Yes,Yes,No,Pop,Yes,Yes,6.0,5.0,2.0,0.0,Improve
138,8/28/2022 18:03,16.0,YouTube Music,3.0,Yes,No,Yes,Pop,No,No,0.0,0.0,4.0,0.0,No effect
139,8/28/2022 18:03,25.0,Spotify,1.5,Yes,No,No,Pop,No,No,6.0,5.0,0.0,2.0,Improve
140,8/28/2022 18:06,17.0,Spotify,4.0,Yes,No,No,Lofi,Yes,Yes,3.0,8.0,0.0,0.0,Improve
141,8/28/2022 18:08,16.0,Spotify,2.0,Yes,No,No,Rap,Yes,Yes,1.0,8.0,0.0,0.0,No effect
142,8/28/2022 18:13,27.0,Spotify,10.0,Yes,No,No,Metal,Yes,Yes,5.0,6.0,6.0,3.0,Improve
143,8/28/2022 18:17,53.0,Spotify,7.0,Yes,No,No,Pop,Yes,Yes,0.0,0.0,0.0,0.0,Improve
144,8/28/2022 18:17,25.0,Spotify,1.0,Yes,No,No,EDM,No,No,0.0,8.0,0.0,0.0,Improve
145,8/28/2022 18:18,34.0,Spotify,2.0,No,No,No,Metal,No,No,3.0,7.0,0.0,0.0,Improve
146,8/28/2022 18:18,22.0,Other streaming service,6.0,Yes,Yes,Yes,Jazz,Yes,Yes,8.0,8.0,8.0,5.0,Improve
147,8/28/2022 18:18,17.0,Spotify,2.0,Yes,Yes,Yes,Jazz,Yes,No,5.0,2.0,3.0,4.0,Improve
148,8/28/2022 18:21,26.0,Spotify,3.0,Yes,Yes,No,Folk,Yes,No,8.0,8.0,3.0,0.0,Improve
149,8/28/2022 18:28,19.0,Spotify,8.0,Yes,No,No,EDM,Yes,No,6.0,8.0,8.0,0.0,Improve
150,8/28/2022 18:30,21.0,Spotify,3.0,Yes,No,No,Pop,Yes,Yes,6.0,8.0,6.0,0.0,Worsen
151,8/28/2022 18:33,32.0,Spotify,3.0,Yes,Yes,Yes,Rock,Yes,Yes,6.0,6.0,7.0,5.0,Improve
152,8/28/2022 18:35,21.0,I do not use a streaming service.,3.0,Yes,No,No,Rock,No,No,9.0,10.0,3.0,0.0,No effect
153,8/28/2022 18:51,25.0,Spotify,2.0,No,Yes,No,Pop,No,No,7.0,7.0,5.0,0.0,Improve
154,8/28/2022 18:53,26.0,Spotify,1.0,No,No,No,Rock,No,No,10.0,7.0,2.0,8.0,No effect
155,8/28/2022 18:54,21.0,Spotify,2.0,Yes,Yes,No,Metal,Yes,Yes,1.0,3.0,0.0,6.0,No effect
156,8/28/2022 18:55,17.0,Spotify,2.0,Yes,Yes,No,Pop,No,Yes,5.0,3.0,2.0,1.0,Improve
157,8/28/2022 18:56,28.0,I do not use a streaming service.,4.0,Yes,No,No,Rock,Yes,Yes,6.0,8.0,1.0,6.0,Improve
158,8/28/2022 18:57,41.0,YouTube Music,4.0,Yes,No,No,Pop,Yes,No,7.0,2.0,0.0,7.0,Improve
159,8/28/2022 18:58,18.0,Spotify,1.0,Yes,Yes,No,Metal,Yes,Yes,6.0,9.0,9.0,0.0,Improve
160,8/28/2022 18:58,22.0,Spotify,2.0,No,No,No,R&B,No,Yes,1.0,1.0,4.0,1.0,No effect
162,8/28/2022 18:59,49.0,Other streaming service,1.0,Yes,No,No,EDM,Yes,No,8.0,8.0,2.0,0.0,Improve
163,8/28/2022 19:04,21.0,Spotify,3.0,Yes,Yes,Yes,Metal,Yes,No,3.0,3.0,7.0,0.0,No effect
164,8/28/2022 19:04,27.0,Spotify,10.0,Yes,No,No,Metal,Yes,Yes,8.0,8.0,3.0,0.0,Improve
165,8/28/2022 19:07,19.0,Spotify,1.0,No,No,Yes,Metal,Yes,Yes,6.0,4.0,0.0,3.0,No effect
166,8/28/2022 19:10,27.0,Spotify,3.0,Yes,No,No,Metal,Yes,Yes,1.0,0.0,0.0,0.0,Improve
167,8/28/2022 19:12,27.0,Spotify,1.5,Yes,No,No,Rock,No,No,5.0,5.0,4.0,4.0,Improve
169,8/28/2022 19:18,42.0,YouTube Music,2.5,Yes,Yes,No,Rock,No,Yes,8.0,8.0,7.0,6.0,Improve
170,8/28/2022 19:20,60.0,Pandora,2.0,Yes,No,No,Gospel,No,No,3.0,0.0,2.0,0.0,Improve
171,8/28/2022 19:22,19.0,YouTube Music,5.0,Yes,No,No,Metal,No,Yes,0.0,5.0,1.0,0.0,No effect
172,8/28/2022 19:26,20.0,Apple Music,2.0,Yes,No,No,Pop,Yes,No,6.0,3.0,0.0,0.0,Improve
173,8/28/2022 19:27,28.0,Spotify,2.0,No,No,Yes,Metal,No,No,1.0,7.0,5.0,1.0,Improve
174,8/28/2022 19:29,16.0,I do not use a streaming service.,2.0,No,Yes,Yes,Video game music,Yes,No,4.0,2.0,1.0,1.0,No effect
175,8/28/2022 19:29,18.0,Spotify,2.0,Yes,No,No,R&B,No,Yes,5.0,6.0,0.0,1.0,No effect
176,8/28/2022 19:30,34.0,Spotify,1.0,Yes,No,No,Rock,Yes,Yes,1.0,0.0,0.0,0.0,No effect
177,8/28/2022 19:30,18.0,YouTube Music,1.5,Yes,No,No,Pop,Yes,No,8.0,6.0,5.0,2.0,Improve
178,8/28/2022 19:35,21.0,Spotify,5.0,Yes,Yes,Yes,Folk,Yes,Yes,9.0,4.0,0.0,3.0,Improve
179,8/28/2022 19:40,38.0,Spotify,0.5,No,No,No,Rock,Yes,Yes,4.0,6.0,6.0,4.0,Improve
180,8/28/2022 19:46,17.0,Spotify,2.0,Yes,No,No,Rock,No,Yes,7.0,3.0,1.0,5.0,Improve
